Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,Actual Result Iteration 1,Status Iteration 1,Actual Result Iteration 2,Status Iteration 2,Comments
TC_EP1_001,Verify successful login with valid credentials,OrangeHRM login page should available,User should login with valid username and password,"1. Open Browser
2. Navigate to url
3. Enter valid username
4. Enter valid password                       5. Click Login button
","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Username: Admin, Password: admin123",User should be successfully logged in and redirected to dashboard page with proper navigation menu visible,User  logged in and redirected to homepage,Passed,,,
TC_EP1_002,Verify login failure with invalid username,OrangeHRM login page should available,User should enter invalid username with valid password,"1. Open Browser
2. Navigate to 
3. Enter invalid username: 'InvalidUser'
4. Enter valid password
5. Click Login button
","1.https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Username: InvalidUser, Password: admin123","Login should fail and display 'Invalid credentials' error message, user remains on login page","User didn’t logged in and the error messgae displayed of ""Invalid Credentials""",Passed,,,
TC_EP1_003,Verify login failure with invalid password,OrangeHRM login page should available,User should enter valid username with invalid password,"1. Open Browser
2. Navigate to url
3. Enter valid username
4. Enter invalid password
5. Click Login button
","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Username: Admin, Password: wrongpassword","Login should fail and display 'Invalid credentials' error message, user remains on login page","Error Messge dispalyed of ""Invalid Credentials"" and remained on HomePage",Passed,,,
TC_EP1_004,Verify login failure with empty username field,OrangeHRM login page should available,Username field should be left empty,"1. Open Browser
2. Navigate to url
3. Leave username field empty
4. Enter valid password
5. Click Login button
","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Username: Admin, Password: wrongpassword","Validation message 'Required' should appear under username field, login should not proceed","Validation message 'Required' is appeared  under username field, login is not proceeding",Passed,,,
TC_EP1_005,Verify login failure with empty password field,OrangeHRM login page should available,Password field should be left empty,"1. Open Browser
2. Navigate to url                                     3. Enter valid username:
4. Leave password field empty
5. Click Login button","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Username: Admin, Password: (empty)","Validation message 'Required' should appear under password field, login should not proceed","Validation message 'Required' should appear under password field, login is not proceeding",Passed,,,
TC_EP1_006,Verify forgot password link functionality,OrangeHRM login page should available,Forgot password link should be clickable and functional,"1. Open Browser
2. Navigate to url                                     3. Click on 'Forgot your password?' link
4. Verify forgot password page loads
5. Check reset password form is displayed","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Forgot password link",Forgot password page should load with reset password form containing username field and reset button,Forgot password page is loading with reset password form containing username field and reset button,Passed,,,
TC_EP1_007,Verify successful logout functionality, OrangeHRM dashboard should be available,User should be able to logout successfully,"1. Login to OrangeHRM with valid credentials
2. Navigate to any module (e.g., Dashboard)
3. Click on user profile dropdown in top-right corner
4. Click on 'Logout' option

","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Logged in user session","User should be successfully logged out and redirected to login page, session should be terminated and back button should not allow access",The User has successfully logged out and  redirected to Login Page.,Passed,,,
TC_EP2_008,Verify dashboard loads successfully after login, OrangeHRM dashboard should be available,Dashboard should display all key widgets and information,"1. Open Browser
2. Navigate to url                                     3. Login to OrangeHRM with valid credentials
4. Verify dashboard page loads
5. Check 'Time at Work' widget is displayed
6. Check 'My Actions' widget is displayed
7. Check 'Quick Launch' widget is displayed
8. Check 'Buzz Latest Posts' widget is displayed
","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Valid login credentials","Dashboard should load completely with all widgets visible: Time at Work, My Actions, Quick Launch, Buzz Posts, and employee distribution charts","Logged in with credentials every module is visible including Time at Work,My Actions,Quick Launch,
Buzz Latest Reports and Employee Distribution chart ",Passed,,,
TC_EP2_009,Verify main navigation menu accessibility, OrangeHRM dashboard should be available,All main navigation menu items should be accessible,"1. Open Browser
2. Navigate to url                                               1. Login to OrangeHRM system
2. Verify main navigation menu is visible on left side
3. Check Admin menu item is accessible
4. Check PIM menu item is accessible
5. Check Leave menu item is accessible
6. Check Time menu item is accessible
7. Check Recruitment menu item is accessible
8. Check My Info menu item is accessible
9. Check Performance menu item is accessible
10. Check Dashboard menu item is accessible","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Logged in user with appropriate permissions","All main navigation menu items should be visible and clickable, leading to respective modules when selected",The Dashboard Menu is on left all the modues on the left are accessible,Passed,,,
TC_EP2_010,Verify My Actions widget displays pending tasks, OrangeHRM dashboard should be available,My Actions widget should show pending tasks accurately,"1. Open Browser
2. Navigate to url                                  1. Login to OrangeHRM system
2. Navigate to Dashboard
3. Locate 'My Actions' widget
4. Verify pending leave requests are displayed
5. Verify pending timesheets are displayed
6. Verify pending performance reviews are displayed
7. Click on any pending action item
8. Verify navigation to relevant page","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.User account with pending tasks/actions","My Actions widget should display all pending tasks with correct count, clicking should navigate to relevant module for action",There is no pending leaves are displayed,Failed,,,
TC_EP2_011,Verify Quick Launch functionality, OrangeHRM dashboard should be available,Quick Launch options should provide shortcuts to common tasks,"1. Open Browser
2. Navigate to url                                       3. Navigate to Dashboard
3. Locate 'Quick Launch' widget
4. Click on 'Assign Leave' option
5.navigation to assign leave page
6. Go back to dashboard
7. Click on 'Leave List' option
8.  navigation to leave list page
9. Go back to dashboard
10. Click on 'Timesheets' option
","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.Dashboard with Quick Launch widget","Quick Launch options should provide direct navigation to: Assign Leave, Leave List, Timesheets, Apply Leave, My Leave, and My Timesheet pages",The Quicl launch Widget is displayed with options as mentioned,Passed,,,
TC_EP3_012,Verify add new employee functionality, OrangeHRM dashboard should be available and navigate to PIM,Admin should be able to add new employee with required information,"1. Open Browser
2. Navigate to url                                                     1. Login as Admin user
2. Navigate to PIM module
3. Click on 'Add Employee' option
4. Enter First Name
5. Enter Last Name
6. Enter Employee ID
7. Upload employee photograph
8. Click Save button
9. Check employee appears in employee list","1. https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2.First Name: John, Last Name: Doe, Employee ID: EMP001, Photo file","New employee should be added successfully with confirmation message, employee should appear in employee list with correct details",The Employee is added Sucessfully and appeard in list,Passed,,,
